product_category,customer_city,jumlah_terjual
perfumery,mogi-guacu,1
art,rio de janeiro,1
sports_leisure,sao paulo,1
baby,sao paulo,1
housewares,sao paulo,1
musical_instruments,ponte nova,1
cool_stuff,guarulhos,1
cool_stuff,rio de janeiro,1
furniture_decor,ribeirao pires,3
furniture_decor,ribeirao pires,4
furniture_decor,sao paulo,1
furniture_decor,sao paulo,2
furniture_decor,belo horizonte,1
furniture_decor,belo horizonte,2
furniture_decor,belo horizonte,3
furniture_decor,belo horizonte,4
furniture_decor,belo horizonte,5
home_appliances,simoes filho,1
toys,teresina,1
bed_bath_table,cotia,1
bed_bath_table,cotia,2
bed_bath_table,salto,1
bed_bath_table,sao goncalo,1
baby,nova lima,1
baby,canoas,1
musical_instruments,rio de janeiro,1
furniture_decor,recife,1
construction_tools_safety,blumenau,1
sports_leisure,mogi das cruzes,1
perfumery,santana de parnaiba,1
perfumery,sao paulo,1
computers_accessories,pindamonhangaba,1
furniture_decor,sao jose dos campos,1
furniture_decor,sao paulo,2
bed_bath_table,sao paulo,1
bed_bath_table,sao paulo,2
furniture_decor,santo andre,1
furniture_decor,tres cachoeiras,1
furniture_decor,maua,1
bed_bath_table,alfredo vasconcelos,1
health_beauty,itaquaquecetuba,1
baby,mairipora,1
furniture_decor,florianopolis,1
furniture_decor,cuiaba,1
furniture_decor,itajai,1
furniture_decor,sao paulo,1
furniture_decor,rio de janeiro,1
furniture_decor,rio de janeiro,1
furniture_decor,ituverava,1
furniture_decor,sao paulo,1
furniture_decor,mirai,1
housewares,sao paulo,1
luggage_accessories,maceio,1
computers_accessories,sao paulo,1
computers_accessories,varginha,1
computers_accessories,morrinhos,1
computers_accessories,campinas,1
computers_accessories,sao gotardo,1
computers_accessories,luizlandia do oeste,1
sports_leisure,osasco,1
bed_bath_table,sao paulo,1
garden_tools,mesquita,1
furniture_decor,fundao,1
office_furniture,recife,1
office_furniture,salvador,1
office_furniture,garca,1
office_furniture,japeri,1
office_furniture,japeri,3
office_furniture,japeri,5
office_furniture,japeri,7
office_furniture,sao paulo,1
sports_leisure,carapicuiba,1
baby,frei lagonegro,1
baby,frei lagonegro,2
baby,sao paulo,1
auto,guaramirim,1
electronics,campinas,1
electronics,sao paulo,1
furniture_decor,belo horizonte,1
furniture_decor,belo horizonte,2
furniture_decor,belo horizonte,3
furniture_decor,juiz de fora,1
furniture_decor,juiz de fora,2
furniture_decor,juiz de fora,3
furniture_decor,sao paulo,1
furniture_decor,rio de janeiro,1
toys,sao goncalo,1
toys,capim branco,1
bed_bath_table,macedonia,1
baby,sao paulo,1
cool_stuff,arrozal,1
cool_stuff,sao paulo,1
toys,brasilia,1
cool_stuff,sao paulo,1
cool_stuff,taubate,1
cool_stuff,barra mansa,1
cool_stuff,vila velha,1
cool_stuff,sao joao d'alianca,1
cool_stuff,paranagua,1
cool_stuff,bocaina,1
cool_stuff,sao goncalo,1
cool_stuff,rio de janeiro,1
cool_stuff,sao roque,1
cool_stuff,guarulhos,1
cool_stuff,bauru,1
cool_stuff,abreu e lima,1
cool_stuff,sao paulo,1
cool_stuff,sao paulo,1
cool_stuff,guarani,1
cool_stuff,teresopolis,1
cool_stuff,guarai,1
cool_stuff,sao caetano do sul,1
cool_stuff,blumenau,1
cool_stuff,curitiba,1
cool_stuff,sao paulo,1
cool_stuff,maua,1
cool_stuff,sao luiz gonzaga,1
cool_stuff,goiania,1
cool_stuff,joao pessoa,1
cool_stuff,campinas,1
cool_stuff,sao paulo,1
